4.19,4.20,4.21,4.22,4.23,4.24,4.25,4.26,4.27,4.28,4.29/00,4.29/02,4.29/04,4.29/06,4.29/08,4.29/10,4.29/12,4.29/14,4.29/16,4.29/18,4.29/20,4.29/22,4.30/00,4.30/02,4.30/04,4.30/06,4.30/08,4.30/10,4.30/12,4.30/14,4.30/16,4.30/18,4.30/20,4.30/22,5.01,5.02
peoples,peoples,peoples,peoples,peoples,peoples,peoples,peoples,peoples,peoples,peoples,climate,climate,climate,climate,climate,climate,climate,trump,climate,climate,climate,climate,climate,climate,climate,climate,climate,climate,climate,climate,climate,climate,climate,people,people
people,people,people,people,people,people,people,climate,climate,climate,climate,trump,trump,trump,trump,trump,trump,trump,day,trump,trump,trump,trump,trump,trump,change,change,change,change,change,change,change,people,people,sign,sign
sign,sign,sign,sign,sign,sign,trump,people,trump,trump,trump,peoples,march,march,march,march,march,march,clean,change,change,change,change,change,change,trump,trump,trump,trump,trump,trump,people,sign,sign,climate,climate
trump,trump,trump,trump,trump,trump,sign,trump,people,march,march,march,peoples,peoples,peoples,bus,bus,change,100,march,people,people,people,people,people,people,people,people,people,people,people,trump,change,change,change,change
climate,climate,climate,climate,climate,climate,climate,sign,march,coming,bus,bus,bus,bus,bus,peoples,peoples,bus,energy,people,march,march,sign,sign,sign,sign,sign,sign,sign,sign,sign,sign,trump,trump,trump,trump
ready,ready,coming,coming,coming,coming,coming,coming,coming,bus,coming,coming,coming,coming,coming,coming,change,peoples,marching,sign,sign,sign,website,website,website,website,website,website,website,website,private,private,private,private,private,private
coming,coming,ready,excite,excite,bus,march,march,sign,people,people,inauguration,inauguration,inauguration,inauguration,inauguration,coming,people,white,remove,remove,remove,remove,remove,remove,remove,remove,remove,remove,private,website,website,d.c.,d.c.,march,march
excite,excite,excite,bus,bus,march,bus,bus,bus,sign,sign,people,people,people,people,people,people,coming,protest,website,website,website,march,march,march,march,march,private,private,remove,remove,d.c.,website,march,d.c.,d.c.
bus,bus,bus,ready,march,excite,ready,inauguration,inauguration,inauguration,inauguration,sign,sign,sign,sign,change,inauguration,sign,house,peoples,peoples,peoples,inauguration,rally,private,private,private,march,march,d.c.,d.c.,remove,march,website,website,website
march,march,march,march,ready,ready,excite,ready,ready,ready,change,change,change,change,change,sign,sign,inauguration,resistance,bus,inauguration,inauguration,peoples,private,rally,d.c.,d.c.,d.c.,d.c.,march,march,march,remove,worry,worry,worry
d.c.,d.c.,d.c.,d.c.,d.c.,inauguration,inauguration,excite,excite,change,ready,ready,d.c.,remove,remove,remove,remove,remove,water,inauguration,bus,bus,rally,inauguration,d.c.,rally,rally,rally,worry,worry,worry,worry,worry,remove,remove,yesterday
beautiful,beautiful,beautiful,inauguration,inauguration,d.c.,d.c.,d.c.,change,d.c.,d.c.,d.c.,ready,website,website,website,website,website,air,coming,coming,hours,hours,d.c.,inauguration,worry,worry,worry,rally,rally,rally,rally,truth,yesterday,yesterday,remove
inauguration,inauguration,inauguration,beautiful,environment,environment,environment,change,d.c.,excite,excite,remove,remove,d.c.,hours,hours,hours,hours,economy,hours,hours,coming,d.c.,peoples,worry,inauguration,inauguration,truth,truth,truth,truth,truth,yesterday,truth,truth,truth
environment,environment,environment,environment,beautiful,beautiful,change,beautiful,beautiful,beautiful,beautiful,website,website,hours,d.c.,ahead,ahead,ahead,agenda,ahead,d.c.,d.c.,bus,hours,peoples,hours,wait,wait,wait,wait,wait,yesterday,rally,rally,rally,rally
change,change,change,change,change,change,beautiful,environment,environment,environment,remove,beautiful,hours,ready,ahead,d.c.,d.c.,d.c.,crowd,d.c.,ahead,rally,coming,worry,hours,peoples,hours,inauguration,peoples,peoples,peoples,wait,wait,wait,wait,burning
kid,kid,kid,kid,kid,kid,kid,kid,hours,remove,website,excite,beautiful,ahead,ready,ready,rally,rally,fossil,rally,rally,ahead,private,bus,wait,wait,truth,peoples,inauguration,jet,jet,jet,peoples,peoples,peoples,wait
assault,assault,assault,assault,assault,assault,life,life,remove,hours,environment,hours,excite,beautiful,rally,rally,ready,ready,fuel,science,private,private,ahead,coming,truth,truth,peoples,hours,hours,inauguration,yesterday,peoples,jet,jet,jet,traffic
plan,plan,launch,launch,launch,launch,assault,hours,life,website,hours,environment,ahead,rally,beautiful,beautiful,beautiful,beautiful,administration,beautiful,wait,wait,wait,ahead,ahead,ahead,ahead,beautiful,beautiful,hours,inauguration,inauguration,hypocrite,hypocrite,burning,peoples
launch,launch,plan,won,won,won,launch,assault,website,rally,rally,rally,rally,excite,excite,science,science,science,chart,wait,beautiful,beautiful,worry,wait,bus,beautiful,beautiful,ahead,jet,beautiful,beautiful,hypocrite,inauguration,life,traffic,participate
rise,rise,rise,marching,healthy,save,record,indigenous,indigenous,support,support,april,environment,environment,day,day,day,day,days,private,science,truth,truth,truth,coming,coming,hypocrite,hypocrite,hypocrite,hypocrite,hours,beautiful,life,inauguration,hypocrite,jet
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
