4.19,4.20,4.21,4.22,4.23,4.24,4.25,4.26,4.27,4.28,4.29/00,4.29/02,4.29/04,4.29/06,4.29/08,4.29/10,4.29/12,4.29/14,4.29/16,4.29/18,4.29/20,4.29/22,4.30/00,4.30/02,4.30/04,4.30/06,4.30/08,4.30/10,4.30/12,4.30/14,4.30/16,4.30/18,4.30/20,4.30/22,5.01,5.02
trump,april,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,day,day,day,day,day,day,day,marching,marching,marching,marching,marching,marching,marching,marching,marching
april,trump,april,april,april,april,clean,clean,clean,clean,clean,clean,clean,clean,clean,clean,day,day,day,day,trump,trump,trump,trump,trump,trump,marching,day,day,day,day,minimum,minimum,minimum,minimum,minimum
house,house,house,house,house,house,april,energy,economy,economy,economy,economy,economy,day,day,day,clean,clean,clean,100,100,100,marching,marching,marching,marching,trump,trump,trump,minimum,minimum,day,day,day,day,day
white,white,white,white,white,white,energy,economy,energy,energy,energy,agenda,day,100,100,100,100,100,100,clean,marching,marching,100,100,100,minimum,minimum,minimum,minimum,trump,trump,trump,trump,trump,trump,energy
day,day,day,day,day,clean,economy,agenda,agenda,agenda,agenda,energy,100,economy,energy,energy,energy,energy,energy,energy,protest,protest,protest,protest,protest,protest,100,crowd,crowd,crowd,crowd,crowd,energy,energy,100,100
resistance,resistance,resistance,resistance,resistance,resistance,agenda,april,chart,chart,chart,day,energy,energy,economy,economy,water,white,marching,marching,energy,energy,energy,crowd,minimum,100,crowd,100,100,100,energy,energy,crowd,100,energy,trump
marching,29th,29th,29th,29th,day,house,chart,path,resistance,day,chart,agenda,agenda,agenda,water,white,house,white,protest,clean,clean,crowd,minimum,crowd,crowd,protest,protest,energy,energy,100,100,100,crowd,crowd,crowd
29th,marching,marching,clean,clean,29th,white,path,resistance,path,path,100,chart,chart,water,white,house,water,protest,white,resistance,resistance,resistance,energy,energy,energy,energy,energy,protest,protest,protest,protest,protest,protest,clean,clean
protest,protest,protest,marching,energy,energy,resistance,resistance,april,day,resistance,path,path,water,white,house,economy,marching,house,resistance,white,crowd,minimum,resistance,resistance,resistance,resistance,resistance,resistance,resistance,resistance,resistance,resistance,resistance,protest,protest
clean,clean,clean,energy,agenda,economy,day,house,white,april,white,resistance,resistance,resistance,resistance,agenda,resistance,resistance,resistance,house,house,administration,clean,administration,administration,administration,fossil,fossil,fossil,fossil,dear,dear,dear,clean,resistance,dear
100th,energy,energy,agenda,economy,agenda,chart,white,house,white,house,white,white,path,house,resistance,marching,protest,water,water,crowd,white,administration,clean,clean,fossil,administration,administration,clean,dear,fossil,fossil,clean,dear,dear,resistance
energy,100th,agenda,economy,100th,chart,path,day,day,house,april,house,house,white,chart,chart,protest,economy,air,crowd,administration,house,white,white,fossil,clean,clean,clean,administration,clean,clean,clean,fossil,fossil,fossil,fossil
agenda,agenda,100th,protest,marching,path,29th,29th,29th,100,100,april,water,house,path,air,agenda,agenda,economy,administration,water,minimum,house,fossil,white,white,white,dear,dear,administration,administration,administration,administration,administration,administration,administration
presidency,economy,economy,100th,chart,100th,100th,100th,100,water,water,water,april,april,air,marching,air,air,agenda,air,fossil,fossil,fossil,house,house,fuel,dear,white,fuel,fuel,fuel,fuel,fuel,fuel,fuel,fuel
economy,presidency,presidency,presidency,path,marching,protest,100,water,29th,29th,air,air,air,marching,protest,chart,chart,crowd,fossil,fuel,water,fuel,fuel,fuel,house,fuel,fuel,white,message,message,message,message,message,message,message
days,days,days,chart,protest,protest,marching,protest,100th,air,air,29th,marching,marching,protest,path,path,fossil,fossil,fuel,air,people,people,people,message,dear,house,message,message,white,white,leftist,leftist,leftist,leftist,leftist
surround,surround,surround,path,presidency,presidency,presidency,water,protest,100th,marching,marching,protest,protest,april,april,april,fuel,fuel,agenda,minimum,fuel,water,water,people,message,message,house,house,leftist,leftist,white,white,heat,heat,heat
march,march,chart,surround,surround,surround,100,marching,marching,hotel,protest,protest,29th,days,days,days,fuel,crowd,administration,economy,people,air,air,message,dear,people,people,leftist,leftist,house,house,100th,100th,100th,100th,100th
chart,chart,path,days,days,water,water,presidency,air,protest,100th,100th,days,100th,100th,fuel,fossil,path,chart,people,agenda,agenda,message,air,water,pollution,leftist,pollution,pollution,pollution,100th,house,heat,white,environment,white
path,path,march,water,water,days,surround,air,presidency,marching,hotel,days,100th,29th,fuel,fossil,days,days,days,minimum,days,president,president,dear,pollution,leftist,pollution,people,environment,100th,environment,environment,environment,environment,white,environment
none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,economy,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
